,,price,area,Price_sqft,price^2,x.y,x2.y,
81,,4500000,1000,4500,2.025E+13,4500000000,20250000000,
82,,6900000,1260,5476.190476,4.761E+13,8694000000,37785714286,
83,,13500000,2425,5567.010309,1.8225E+14,32737500000,75154639175,
84,,4500000,1198,3756.260434,2.025E+13,5391000000,16903171953,
85,,32500000,3000,10833.33333,1.05625E+15,97500000000,3.52083E+11,
86,,11000000,1743,6310.958118,1.21E+14,19173000000,69420539300,
87,,3200000,650,4923.076923,1.024E+13,2080000000,15753846154,
88,,3200000,815,3926.380368,1.024E+13,2608000000,12564417178,
89,,3400000,1050,3238.095238,1.156E+13,3570000000,11009523810,
90,,11100000,2100,5285.714286,1.2321E+14,23310000000,58671428571,
91,,3500000,900,3888.888889,1.225E+13,3150000000,13611111111,
92,,12500000,1836,6808.278867,1.5625E+14,22950000000,85103485839,
93,,8500000,1495,5685.618729,7.225E+13,12707500000,48327759197,
94,,4200000,1040,4038.461538,1.764E+13,4368000000,16961538462,
95,,82000000,5495,14922.65696,6.724E+15,4.5059E+11,1.22366E+12,
96,,9000000,1250,7200,8.1E+13,11250000000,64800000000,
97,,14000000,2500,5600,1.96E+14,35000000000,78400000000,
98,,8900000,1815,4903.581267,7.921E+13,16153500000,43641873278,
99,,3200000,1041,3073.967339,1.024E+13,3331200000,9836695485,
100,,15000000,2000,7500,2.25E+14,30000000000,1.125E+11,
101,,9200000,1960,4693.877551,8.464E+13,18032000000,43183673469,
102,,11500000,1963,5858.380031,1.3225E+14,22574500000,67371370352,
103,,6000000,1246,4815.40931,3.6E+13,7476000000,28892455859,
104,,3900000,1085,3594.470046,1.521E+13,4231500000,14018433180,
105,,3600000,995,3618.090452,1.296E+13,3582000000,13025125628,
106,,49000000,6168,7944.228275,2.401E+15,3.02232E+11,3.89267E+11,
107,,7500000,1260,5952.380952,5.625E+13,9450000000,44642857143,
108,,18000000,1700,10588.23529,3.24E+14,30600000000,1.90588E+11,
109,,17200000,2025,8493.82716,2.9584E+14,34830000000,1.46094E+11,
110,,17000000,1600,10625,2.89E+14,27200000000,1.80625E+11,
111,,5500000,1150,4782.608696,3.025E+13,6325000000,26304347826,
112,,13000000,2300,5652.173913,1.69E+14,29900000000,73478260870,
113,,9900000,1760,5625,9.801E+13,17424000000,55687500000,
114,,7000000,559,12522.36136,4.9E+13,3913000000,87656529517,
115,,5150000,1234,4173.419773,2.65225E+13,6355100000,21493111831,
116,,7500000,700,10714.28571,5.625E+13,5250000000,80357142857,
117,,2630000,750,3506.666667,6.9169E+12,1972500000,9222533333,
118,,4600000,1000,4600,2.116E+13,4600000000,21160000000,
119,,7500000,1390,5395.683453,5.625E+13,10425000000,40467625899,
120,,7000000,1326,5279.034691,4.9E+13,9282000000,36953242836,
121,,5800000,1270,4566.929134,3.364E+13,7366000000,26488188976,
122,,5200000,1175,4425.531915,2.704E+13,6110000000,23012765957,
123,,26000000,3755,6924.101198,6.76E+14,97630000000,1.80027E+11,
124,,20000000,1650,12121.21212,4E+14,33000000000,2.42424E+11,
125,,3200000,800,4000,1.024E+13,2560000000,12800000000,
126,,8500000,1100,7727.272727,7.225E+13,9350000000,65681818182,
127,,4320000,800,5400,1.86624E+13,3456000000,23328000000,
128,,6710000,1180,5686.440678,4.50241E+13,7917800000,38156016949,
129,,16900000,1935,8733.850129,2.8561E+14,32701500000,1.47602E+11,
130,,12500000,1800,6944.444444,1.5625E+14,22500000000,86805555556,
131,,5000000,1200,4166.666667,2.5E+13,6000000000,20833333333,
132,,12000000,1250,9600,1.44E+14,15000000000,1.152E+11,
133,,2700000,770,3506.493506,7.29E+12,2079000000,9467532468,
134,,11000000,1200,9166.666667,1.21E+14,13200000000,1.00833E+11,
135,,14000000,2500,5600,1.96E+14,35000000000,78400000000,
136,,7500000,1675,4477.61194,5.625E+13,12562500000,33582089552,
137,,12000000,2520,4761.904762,1.44E+14,30240000000,57142857143,
138,,4100000,1000,4100,1.681E+13,4100000000,16810000000,
139,,3790000,1310,2893.129771,1.43641E+13,4964900000,10964961832,
140,,5200000,1065,4882.629108,2.704E+13,5538000000,25389671362,
141,,12500000,1830,6830.601093,1.5625E+14,22875000000,85382513661,
142,,15200000,2268,6701.940035,2.3104E+14,34473600000,1.01869E+11,
143,,10500000,1821,5766.062603,1.1025E+14,19120500000,60543657331,
144,,4000000,1115,3587.443946,1.6E+13,4460000000,14349775785,
145,,3330000,825,4036.363636,1.10889E+13,2747250000,13441090909,
146,,17000000,3500,4857.142857,2.89E+14,59500000000,82571428571,
147,,3600000,750,4800,1.296E+13,2700000000,17280000000,
148,,4500000,1250,3600,2.025E+13,5625000000,16200000000,
149,,5500000,1375,4000,3.025E+13,7562500000,22000000000,
150,,24500000,2797,8759.385055,6.0025E+14,68526500000,2.14605E+11,
151,,45000000,9000,5000,2.025E+15,4.05E+11,2.25E+11,
152,,5000000,1470,3401.360544,2.5E+13,7350000000,17006802721,
153,,12500000,3150,3968.253968,1.5625E+14,39375000000,49603174603,
154,,7400000,1530,4836.601307,5.476E+13,11322000000,35790849673,
155,,4100000,1200,3416.666667,1.681E+13,4920000000,14008333333,
